Execution Type,Degree,Block Size,Time (ms)
cpu,2,0,0.0
cpu,4,0,0.0
cpu,8,0,0.0
cpu,16,0,0.0
cpu,32,0,0.0
cpu,64,0,0.0
cpu,128,0,0.0
cpu,256,0,0.0
cpu,512,0,1.0
cpu,1024,0,6.0
cpu,2048,0,25.0
cpu,4096,0,100.0
cpu,8192,0,398.0
cpu,16384,0,1610.0
cpu,32768,0,6401.0
cpu,65536,0,25615.0
cuda (naive),2,32,0.556704
cuda (fast!),2,32,0.279584
cuda (naive),4,32,0.224768
cuda (fast!),4,32,0.233792
cuda (naive),8,32,0.22816
cuda (fast!),8,32,0.21776
cuda (naive),16,32,0.212256
cuda (fast!),16,32,0.248704
cuda (naive),32,32,0.24848
cuda (fast!),32,32,0.236192
cuda (naive),64,32,0.221376
cuda (fast!),64,32,0.278016
cuda (naive),128,32,0.255296
cuda (fast!),128,32,0.27472
cuda (naive),256,32,0.263904
cuda (fast!),256,32,0.287584
cuda (naive),512,32,0.287392
cuda (fast!),512,32,0.300448
cuda (naive),1024,32,0.334944
cuda (fast!),1024,32,0.427008
cuda (naive),2048,32,0.434464
cuda (fast!),2048,32,0.575904
cuda (naive),4096,32,0.734304
cuda (fast!),4096,32,1.00653
cuda (naive),8192,32,1.71952
cuda (fast!),8192,32,2.06586
cuda (naive),16384,32,5.23373
cuda (fast!),16384,32,6.01632
cuda (naive),32768,32,18.6682
cuda (fast!),32768,32,20.8381
cuda (naive),65536,32,71.4775
cuda (fast!),65536,32,77.1
cuda (naive),2,64,0.27024
cuda (fast!),2,64,0.220032
cuda (naive),4,64,0.230304
cuda (fast!),4,64,0.213664
cuda (naive),8,64,0.227296
cuda (fast!),8,64,0.210912
cuda (naive),16,64,0.223648
cuda (fast!),16,64,0.213248
cuda (naive),32,64,0.230496
cuda (fast!),32,64,0.21632
cuda (naive),64,64,0.231392
cuda (fast!),64,64,0.221952
cuda (naive),128,64,0.23584
cuda (fast!),128,64,0.232736
cuda (naive),256,64,0.241728
cuda (fast!),256,64,0.251328
cuda (naive),512,64,0.292288
cuda (fast!),512,64,0.337824
cuda (naive),1024,64,0.338112
cuda (fast!),1024,64,0.394304
cuda (naive),2048,64,0.427648
cuda (fast!),2048,64,0.588704
cuda (naive),4096,64,0.758496
cuda (fast!),4096,64,0.968512
cuda (naive),8192,64,1.56221
cuda (fast!),8192,64,1.94019
cuda (naive),16384,64,5.11802
cuda (fast!),16384,64,5.60781
cuda (naive),32768,64,18.2511
cuda (fast!),32768,64,17.8346
cuda (naive),65536,64,69.0762
cuda (fast!),65536,64,67.6507
cuda (naive),2,128,0.26976
cuda (fast!),2,128,0.220288
cuda (naive),4,128,0.228064
cuda (fast!),4,128,0.213856
cuda (naive),8,128,0.233728
cuda (fast!),8,128,0.211904
cuda (naive),16,128,0.20992
cuda (fast!),16,128,0.214016
cuda (naive),32,128,0.229024
cuda (fast!),32,128,0.217536
cuda (naive),64,128,0.214688
cuda (fast!),64,128,0.222912
cuda (naive),128,128,0.23408
cuda (fast!),128,128,0.232704
cuda (naive),256,128,0.238592
cuda (fast!),256,128,0.253792
cuda (naive),512,128,0.261696
cuda (fast!),512,128,0.296
cuda (naive),1024,128,0.329152
cuda (fast!),1024,128,0.432768
cuda (naive),2048,128,0.418464
cuda (fast!),2048,128,0.602688
cuda (naive),4096,128,0.734048
cuda (fast!),4096,128,0.948928
cuda (naive),8192,128,1.59309
cuda (fast!),8192,128,1.94464
cuda (naive),16384,128,5.1592
cuda (fast!),16384,128,5.35741
cuda (naive),32768,128,18.1316
cuda (fast!),32768,128,17.5942
cuda (naive),65536,128,66.364
cuda (fast!),65536,128,60.9924
cuda (naive),2,256,0.258368
cuda (fast!),2,256,0.244032
cuda (naive),4,256,0.216896
cuda (fast!),4,256,0.25024
cuda (naive),8,256,0.249472
cuda (fast!),8,256,0.219808
cuda (naive),16,256,0.227872
cuda (fast!),16,256,0.29648
cuda (naive),32,256,0.313408
cuda (fast!),32,256,0.232864
cuda (naive),64,256,0.253952
cuda (fast!),64,256,0.281184
cuda (naive),128,256,0.280864
cuda (fast!),128,256,0.258848
cuda (naive),256,256,0.254688
cuda (fast!),256,256,0.287488
cuda (naive),512,256,0.283392
cuda (fast!),512,256,0.326176
cuda (naive),1024,256,0.288448
cuda (fast!),1024,256,0.407328
cuda (naive),2048,256,0.461344
cuda (fast!),2048,256,0.616608
cuda (naive),4096,256,0.693952
cuda (fast!),4096,256,0.895712
cuda (naive),8192,256,1.44438
cuda (fast!),8192,256,1.84234
cuda (naive),16384,256,4.71773
cuda (fast!),16384,256,4.89466
cuda (naive),32768,256,16.6223
cuda (fast!),32768,256,16.1432
cuda (naive),65536,256,63.4388
cuda (fast!),65536,256,61.1409
cuda (naive),2,512,0.246816
cuda (fast!),2,512,0.250464
cuda (naive),4,512,0.262752
cuda (fast!),4,512,0.266336
cuda (naive),8,512,0.247872
cuda (fast!),8,512,0.251456
cuda (naive),16,512,0.275872
cuda (fast!),16,512,0.211456
cuda (naive),32,512,0.229856
cuda (fast!),32,512,0.214144
cuda (naive),64,512,0.227712
cuda (fast!),64,512,0.218112
cuda (naive),128,512,0.231136
cuda (fast!),128,512,0.229088
cuda (naive),256,512,0.247072
cuda (fast!),256,512,0.249728
cuda (naive),512,512,0.286112
cuda (fast!),512,512,0.351936
cuda (naive),1024,512,0.344064
cuda (fast!),1024,512,0.395136
cuda (naive),2048,512,0.425536
cuda (fast!),2048,512,0.537824
cuda (naive),4096,512,0.674464
cuda (fast!),4096,512,0.871872
cuda (naive),8192,512,1.55408
cuda (fast!),8192,512,1.80963
cuda (naive),16384,512,4.88931
cuda (fast!),16384,512,4.71738
cuda (naive),32768,512,16.9212
cuda (fast!),32768,512,15.9878
cuda (naive),65536,512,59.3212
cuda (fast!),65536,512,55.0563
