Running correctness tests...
[PASS] Test passed for degree 1
[PASS] Test passed for degree 2
[PASS] Test passed for degree 4
[PASS] Test passed for degree 8
[PASS] Test passed for degree 16
[PASS] Test passed for degree 32
[PASS] Test passed for degree 64
[PASS] Test passed for degree 128
[PASS] Test passed for degree 256
[PASS] Test passed for degree 512
[PASS] Test passed for degree 1024
[PASS] Test passed for degree 2048
[PASS] Test passed for degree 65536

PASSED ALL TESTS
[cpu] degree: 2, time: 0 ms
[cpu] degree: 4, time: 0 ms
[cpu] degree: 8, time: 0 ms
[cpu] degree: 16, time: 0 ms
[cpu] degree: 32, time: 0 ms
[cpu] degree: 64, time: 0 ms
[cpu] degree: 128, time: 0 ms
[cpu] degree: 256, time: 0 ms
[cpu] degree: 512, time: 1 ms
[cpu] degree: 1024, time: 6 ms
[cpu] degree: 2048, time: 25 ms
[cpu] degree: 4096, time: 100 ms
[cpu] degree: 8192, time: 398 ms
[cpu] degree: 16384, time: 1610 ms
[cpu] degree: 32768, time: 6401 ms
[cpu] degree: 65536, time: 25615 ms
[cuda (naive)] degree: 2, block size: 32, time: 0.556704 ms
[cuda (fast!)] degree: 2, block size: 32, time: 0.279584 ms
[cuda (naive)] degree: 4, block size: 32, time: 0.224768 ms
[cuda (fast!)] degree: 4, block size: 32, time: 0.233792 ms
[cuda (naive)] degree: 8, block size: 32, time: 0.22816 ms
[cuda (fast!)] degree: 8, block size: 32, time: 0.21776 ms
[cuda (naive)] degree: 16, block size: 32, time: 0.212256 ms
[cuda (fast!)] degree: 16, block size: 32, time: 0.248704 ms
[cuda (naive)] degree: 32, block size: 32, time: 0.24848 ms
[cuda (fast!)] degree: 32, block size: 32, time: 0.236192 ms
[cuda (naive)] degree: 64, block size: 32, time: 0.221376 ms
[cuda (fast!)] degree: 64, block size: 32, time: 0.278016 ms
[cuda (naive)] degree: 128, block size: 32, time: 0.255296 ms
[cuda (fast!)] degree: 128, block size: 32, time: 0.27472 ms
[cuda (naive)] degree: 256, block size: 32, time: 0.263904 ms
[cuda (fast!)] degree: 256, block size: 32, time: 0.287584 ms
[cuda (naive)] degree: 512, block size: 32, time: 0.287392 ms
[cuda (fast!)] degree: 512, block size: 32, time: 0.300448 ms
[cuda (naive)] degree: 1024, block size: 32, time: 0.334944 ms
[cuda (fast!)] degree: 1024, block size: 32, time: 0.427008 ms
[cuda (naive)] degree: 2048, block size: 32, time: 0.434464 ms
[cuda (fast!)] degree: 2048, block size: 32, time: 0.575904 ms
[cuda (naive)] degree: 4096, block size: 32, time: 0.734304 ms
[cuda (fast!)] degree: 4096, block size: 32, time: 1.00653 ms
[cuda (naive)] degree: 8192, block size: 32, time: 1.71952 ms
[cuda (fast!)] degree: 8192, block size: 32, time: 2.06586 ms
[cuda (naive)] degree: 16384, block size: 32, time: 5.23373 ms
[cuda (fast!)] degree: 16384, block size: 32, time: 6.01632 ms
[cuda (naive)] degree: 32768, block size: 32, time: 18.6682 ms
[cuda (fast!)] degree: 32768, block size: 32, time: 20.8381 ms
[cuda (naive)] degree: 65536, block size: 32, time: 71.4775 ms
[cuda (fast!)] degree: 65536, block size: 32, time: 77.1 ms
[cuda (naive)] degree: 2, block size: 64, time: 0.27024 ms
[cuda (fast!)] degree: 2, block size: 64, time: 0.220032 ms
[cuda (naive)] degree: 4, block size: 64, time: 0.230304 ms
[cuda (fast!)] degree: 4, block size: 64, time: 0.213664 ms
[cuda (naive)] degree: 8, block size: 64, time: 0.227296 ms
[cuda (fast!)] degree: 8, block size: 64, time: 0.210912 ms
[cuda (naive)] degree: 16, block size: 64, time: 0.223648 ms
[cuda (fast!)] degree: 16, block size: 64, time: 0.213248 ms
[cuda (naive)] degree: 32, block size: 64, time: 0.230496 ms
[cuda (fast!)] degree: 32, block size: 64, time: 0.21632 ms
[cuda (naive)] degree: 64, block size: 64, time: 0.231392 ms
[cuda (fast!)] degree: 64, block size: 64, time: 0.221952 ms
[cuda (naive)] degree: 128, block size: 64, time: 0.23584 ms
[cuda (fast!)] degree: 128, block size: 64, time: 0.232736 ms
[cuda (naive)] degree: 256, block size: 64, time: 0.241728 ms
[cuda (fast!)] degree: 256, block size: 64, time: 0.251328 ms
[cuda (naive)] degree: 512, block size: 64, time: 0.292288 ms
[cuda (fast!)] degree: 512, block size: 64, time: 0.337824 ms
[cuda (naive)] degree: 1024, block size: 64, time: 0.338112 ms
[cuda (fast!)] degree: 1024, block size: 64, time: 0.394304 ms
[cuda (naive)] degree: 2048, block size: 64, time: 0.427648 ms
[cuda (fast!)] degree: 2048, block size: 64, time: 0.588704 ms
